id,aggregated_by,aggregate_name,year,start_date,end_date,brand,count,percentage
87,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Lenovo,552,0.01687557321919902
88,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,Others,2617,0.0800061143381229
89,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Xiaomi,9794,0.2369420587879521
90,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Vivo,9556,0.23118422644248215
91,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Samsung,7572,0.18318616184831257
92,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Oppo,3730,0.09023829684286924
93,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Realme,2285,0.05528002903108745
94,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,OnePlus,1440,0.03483730494738115
95,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Huawei,1213,0.029345590903592598
96,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Motorola,907,0.021942663602274103
97,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Apple,870,0.021047538405709446
98,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Lenovo,606,0.014660699165356235
99,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,Others,3362,0.08133543002298295
100,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Xiaomi,12398,0.23662111611573403
101,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Vivo,12275,0.23427360867241775
102,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Samsung,9938,0.18967096724940835
103,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Oppo,4723,0.0901404687380716
104,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Realme,2996,0.05717993739980151
105,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,OnePlus,1638,0.031261928391480266
106,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Huawei,1472,0.028093747614321703
107,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Motorola,1032,0.019696160012214674
108,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Apple,973,0.018570119856477593
109,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Lenovo,708,0.01351248186884495
110,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,Others,4243,0.08097946408122758
111,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Xiaomi,1665,0.2470326409495549
112,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Samsung,1445,0.21439169139465875
113,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,Vivo,982,0.1456973293768546
